image_path,mask_path
data/raw/Semantic segmentation dataset/Tile 3/images/image_part_009.jpg,data/raw/Semantic segmentation dataset/Tile 3/masks/image_part_009.png
data/raw/Semantic segmentation dataset/Tile 4/images/image_part_001.jpg,data/raw/Semantic segmentation dataset/Tile 4/masks/image_part_001.png
data/raw/Semantic segmentation dataset/Tile 4/images/image_part_002.jpg,data/raw/Semantic segmentation dataset/Tile 4/masks/image_part_002.png
data/raw/Semantic segmentation dataset/Tile 4/images/image_part_003.jpg,data/raw/Semantic segmentation dataset/Tile 4/masks/image_part_003.png
data/raw/Semantic segmentation dataset/Tile 4/images/image_part_004.jpg,data/raw/Semantic segmentation dataset/Tile 4/masks/image_part_004.png
data/raw/Semantic segmentation dataset/Tile 4/images/image_part_005.jpg,data/raw/Semantic segmentation dataset/Tile 4/masks/image_part_005.png
data/raw/Semantic segmentation dataset/Tile 4/images/image_part_006.jpg,data/raw/Semantic segmentation dataset/Tile 4/masks/image_part_006.png
data/raw/Semantic segmentation dataset/Tile 4/images/image_part_007.jpg,data/raw/Semantic segmentation dataset/Tile 4/masks/image_part_007.png
data/raw/Semantic segmentation dataset/Tile 4/images/image_part_008.jpg,data/raw/Semantic segmentation dataset/Tile 4/masks/image_part_008.png
data/raw/Semantic segmentation dataset/Tile 4/images/image_part_009.jpg,data/raw/Semantic segmentation dataset/Tile 4/masks/image_part_009.png
data/raw/Semantic segmentation dataset/Tile 5/images/image_part_001.jpg,data/raw/Semantic segmentation dataset/Tile 5/masks/image_part_001.png
data/raw/Semantic segmentation dataset/Tile 5/images/image_part_002.jpg,data/raw/Semantic segmentation dataset/Tile 5/masks/image_part_002.png
data/raw/Semantic segmentation dataset/Tile 5/images/image_part_003.jpg,data/raw/Semantic segmentation dataset/Tile 5/masks/image_part_003.png
data/raw/Semantic segmentation dataset/Tile 5/images/image_part_004.jpg,data/raw/Semantic segmentation dataset/Tile 5/masks/image_part_004.png
data/raw/Semantic segmentation dataset/Tile 5/images/image_part_005.jpg,data/raw/Semantic segmentation dataset/Tile 5/masks/image_part_005.png
data/raw/Semantic segmentation dataset/Tile 5/images/image_part_006.jpg,data/raw/Semantic segmentation dataset/Tile 5/masks/image_part_006.png
data/raw/Semantic segmentation dataset/Tile 5/images/image_part_007.jpg,data/raw/Semantic segmentation dataset/Tile 5/masks/image_part_007.png
data/raw/Semantic segmentation dataset/Tile 5/images/image_part_008.jpg,data/raw/Semantic segmentation dataset/Tile 5/masks/image_part_008.png
data/raw/Semantic segmentation dataset/Tile 5/images/image_part_009.jpg,data/raw/Semantic segmentation dataset/Tile 5/masks/image_part_009.png
data/raw/Semantic segmentation dataset/Tile 6/images/image_part_001.jpg,data/raw/Semantic segmentation dataset/Tile 6/masks/image_part_001.png
data/raw/Semantic segmentation dataset/Tile 6/images/image_part_002.jpg,data/raw/Semantic segmentation dataset/Tile 6/masks/image_part_002.png
data/raw/Semantic segmentation dataset/Tile 6/images/image_part_003.jpg,data/raw/Semantic segmentation dataset/Tile 6/masks/image_part_003.png
data/raw/Semantic segmentation dataset/Tile 6/images/image_part_004.jpg,data/raw/Semantic segmentation dataset/Tile 6/masks/image_part_004.png
data/raw/Semantic segmentation dataset/Tile 6/images/image_part_005.jpg,data/raw/Semantic segmentation dataset/Tile 6/masks/image_part_005.png
data/raw/Semantic segmentation dataset/Tile 6/images/image_part_006.jpg,data/raw/Semantic segmentation dataset/Tile 6/masks/image_part_006.png
data/raw/Semantic segmentation dataset/Tile 6/images/image_part_007.jpg,data/raw/Semantic segmentation dataset/Tile 6/masks/image_part_007.png
data/raw/Semantic segmentation dataset/Tile 6/images/image_part_008.jpg,data/raw/Semantic segmentation dataset/Tile 6/masks/image_part_008.png
data/raw/Semantic segmentation dataset/Tile 6/images/image_part_009.jpg,data/raw/Semantic segmentation dataset/Tile 6/masks/image_part_009.png
data/raw/Semantic segmentation dataset/Tile 7/images/image_part_001.jpg,data/raw/Semantic segmentation dataset/Tile 7/masks/image_part_001.png
data/raw/Semantic segmentation dataset/Tile 7/images/image_part_002.jpg,data/raw/Semantic segmentation dataset/Tile 7/masks/image_part_002.png
data/raw/Semantic segmentation dataset/Tile 7/images/image_part_003.jpg,data/raw/Semantic segmentation dataset/Tile 7/masks/image_part_003.png
data/raw/Semantic segmentation dataset/Tile 7/images/image_part_004.jpg,data/raw/Semantic segmentation dataset/Tile 7/masks/image_part_004.png
data/raw/Semantic segmentation dataset/Tile 7/images/image_part_005.jpg,data/raw/Semantic segmentation dataset/Tile 7/masks/image_part_005.png
data/raw/Semantic segmentation dataset/Tile 7/images/image_part_006.jpg,data/raw/Semantic segmentation dataset/Tile 7/masks/image_part_006.png
data/raw/Semantic segmentation dataset/Tile 7/images/image_part_007.jpg,data/raw/Semantic segmentation dataset/Tile 7/masks/image_part_007.png
data/raw/Semantic segmentation dataset/Tile 7/images/image_part_008.jpg,data/raw/Semantic segmentation dataset/Tile 7/masks/image_part_008.png
data/raw/Semantic segmentation dataset/Tile 7/images/image_part_009.jpg,data/raw/Semantic segmentation dataset/Tile 7/masks/image_part_009.png
data/raw/Semantic segmentation dataset/Tile 8/images/image_part_001.jpg,data/raw/Semantic segmentation dataset/Tile 8/masks/image_part_001.png
data/raw/Semantic segmentation dataset/Tile 8/images/image_part_002.jpg,data/raw/Semantic segmentation dataset/Tile 8/masks/image_part_002.png
data/raw/Semantic segmentation dataset/Tile 8/images/image_part_003.jpg,data/raw/Semantic segmentation dataset/Tile 8/masks/image_part_003.png
data/raw/Semantic segmentation dataset/Tile 8/images/image_part_004.jpg,data/raw/Semantic segmentation dataset/Tile 8/masks/image_part_004.png
data/raw/Semantic segmentation dataset/Tile 8/images/image_part_005.jpg,data/raw/Semantic segmentation dataset/Tile 8/masks/image_part_005.png
data/raw/Semantic segmentation dataset/Tile 8/images/image_part_006.jpg,data/raw/Semantic segmentation dataset/Tile 8/masks/image_part_006.png
data/raw/Semantic segmentation dataset/Tile 8/images/image_part_007.jpg,data/raw/Semantic segmentation dataset/Tile 8/masks/image_part_007.png
data/raw/Semantic segmentation dataset/Tile 8/images/image_part_008.jpg,data/raw/Semantic segmentation dataset/Tile 8/masks/image_part_008.png
data/raw/Semantic segmentation dataset/Tile 8/images/image_part_009.jpg,data/raw/Semantic segmentation dataset/Tile 8/masks/image_part_009.png
